iter	Passed	Remaining
434	1329	1726
435	1330	1721
436	1332	1716
437	1334	1712
438	1335	1706
439	1336	1701
440	1337	1695
441	1338	1690
442	1345	1692
443	1347	1686
444	1348	1681
445	1349	1676
446	1355	1676
447	1361	1677
448	1363	1672
449	1364	1667
450	1365	1662
451	1366	1657
452	1368	1651
453	1369	1646
454	1375	1648
455	1377	1643
456	1378	1638
457	1379	1632
458	1381	1627
459	1382	1622
460	1383	1617
461	1384	1612
462	1385	1607
463	1390	1606
464	1391	1601
465	1392	1596
466	1394	1591
467	1395	1586
468	1397	1581
469	1398	1576
470	1399	1571
471	1400	1566
472	1407	1568
473	1409	1563
474	1410	1558
475	1411	1553
476	1412	1549
477	1414	1544
478	1415	1539
479	1417	1535
480	1421	1533
481	1423	1529
482	1424	1524
483	1425	1520
484	1427	1515
485	1428	1510
486	1429	1505
487	1430	1500
488	1431	1496
489	1432	1491
490	1439	1492
491	1459	1507
492	1460	1502
493	1462	1497
494	1463	1493
495	1468	1492
496	1470	1488
497	1472	1483
498	1473	1479
499	1474	1474
500	1475	1469
501	1477	1465
502	1478	1460
503	1479	1456
504	1484	1455
505	1486	1450
506	1487	1446
507	1488	1441
508	1489	1436
509	1490	1432
510	1492	1428
511	1493	1423
512	1494	1418
513	1495	1414
514	1506	1419
515	1508	1415
516	1509	1410
517	1511	1406
518	1512	1401
519	1514	1397
520	1515	1393
521	1516	1388
522	1518	1385
523	1520	1380
524	1521	1376
525	1522	1372
526	1523	1367
527	1530	1368
528	1532	1364
529	1533	1359
530	1534	1355
531	1535	1351
532	1537	1346
533	1538	1342
534	1539	1338
535	1544	1337
536	1549	1335
537	1550	1331
538	1551	1326
539	1552	1322
540	1554	1318
541	1555	1314
542	1562	1315
543	1564	1311
544	1566	1307
545	1567	1303
546	1568	1299
547	1569	1294
548	1571	1290
549	1577	1290
550	1579	1286
551	1580	1282
552	1581	1278
553	1582	1274
554	1583	1270
555	1585	1265
556	1594	1267
557	1595	1263
558	1596	1259
559	1597	1255
560	1598	1251
561	1600	1247
562	1601	1242
563	1602	1238
564	1607	1237
565	1608	1233
566	1609	1229
567	1610	1225
568	1612	1221
569	1613	1217
570	1614	1213
571	1616	1209
572	1617	1205
573	1618	1201
574	1631	1206
575	1633	1202
576	1634	1198
577	1638	1196
578	1640	1192
579	1643	1190
580	1645	1186
581	1646	1182
582	1647	1178
583	1649	1175
584	1655	1174
585	1656	1170
586	1658	1166
587	1659	1162
588	1660	1158
589	1673	1163
590	1675	1159
591	1676	1155
592	1678	1151
593	1679	1147
594	1680	1143
595	1681	1139
596	1688	1139
597	1689	1135
598	1691	1132
599	1692	1128
600	1693	1124
601	1694	1120
602	1699	1119
603	1701	1115
604	1702	1111
605	1704	1108
606	1705	1104
607	1706	1100
608	1724	1107
609	1726	1103
610	1727	1099
611	1731	1097
612	1732	1094
613	1734	1090
614	1735	1086
615	1737	1083
616	1739	1079
617	1740	1076
618	1741	1072
619	1743	1068
620	1745	1065
621	1746	1061
